RSSI:-43.0,Distance: 1.0Time difference: 1488132790571
RSSI:-45.0,Distance: 1.0Time difference: 1488132790367
RSSI:-45.0,Distance: 1.0Time difference: 1488132790786
RSSI:-46.0,Distance: 1.0Time difference: 1488132790989
RSSI:-46.0,Distance: 1.0Time difference: 1488132790989
RSSI:-44.0,Distance: 1.0Time difference: 1488132791416
RSSI:-47.0,Distance: 1.0Time difference: 1488132791622
RSSI:-47.0,Distance: 1.0Time difference: 1488132791622
RSSI:-47.0,Distance: 1.0Time difference: 1488132791622
RSSI:-47.0,Distance: 1.0Time difference: 1488132791622
RSSI:-47.0,Distance: 1.0Time difference: 1488132791622
RSSI:-47.0,Distance: 1.0Time difference: 1488132791622
RSSI:-45.0,Distance: 1.0Time difference: 1488132793012
RSSI:-48.0,Distance: 1.0Time difference: 1488132793223
RSSI:-48.0,Distance: 1.0Time difference: 1488132793426
RSSI:-48.0,Distance: 1.0Time difference: 1488132793426
RSSI:-47.0,Distance: 1.0Time difference: 1488132793850
RSSI:-51.0,Distance: 1.0Time difference: 1488132794063
RSSI:-49.0,Distance: 1.0Time difference: 1488132794278
RSSI:-46.0,Distance: 1.0Time difference: 1488132794485
RSSI:-49.0,Distance: 1.0Time difference: 1488132794693
RSSI:-49.0,Distance: 1.0Time difference: 1488132794693
RSSI:-49.0,Distance: 1.0Time difference: 1488132794693
RSSI:-49.0,Distance: 1.0Time difference: 1488132794693
RSSI:-49.0,Distance: 1.0Time difference: 1488132794693
RSSI:-54.0,Distance: 1.0Time difference: 1488132795835
RSSI:-54.0,Distance: 1.0Time difference: 1488132796051
RSSI:-54.0,Distance: 1.0Time difference: 1488132796051
RSSI:-51.0,Distance: 1.0Time difference: 1488132796469
RSSI:-50.0,Distance: 1.0Time difference: 1488132796679
RSSI:-50.0,Distance: 1.0Time difference: 1488132796893
RSSI:-50.0,Distance: 1.0Time difference: 1488132797099
RSSI:-51.0,Distance: 1.0Time difference: 1488132797303
RSSI:-51.0,Distance: 1.0Time difference: 1488132797303
RSSI:-51.0,Distance: 1.0Time difference: 1488132797303
RSSI:-51.0,Distance: 1.0Time difference: 1488132797303
RSSI:-50.0,Distance: 1.0Time difference: 1488132798241
RSSI:-48.0,Distance: 1.0Time difference: 1488132798453
RSSI:-49.0,Distance: 1.0Time difference: 1488132798667
RSSI:-49.0,Distance: 1.0Time difference: 1488132798667
RSSI:-49.0,Distance: 1.0Time difference: 1488132799084
RSSI:-47.0,Distance: 1.0Time difference: 1488132799300
RSSI:-48.0,Distance: 1.0Time difference: 1488132799508
RSSI:-47.0,Distance: 1.0Time difference: 1488132799718
RSSI:-47.0,Distance: 1.0Time difference: 1488132799926
RSSI:-47.0,Distance: 1.0Time difference: 1488132799926
RSSI:-47.0,Distance: 1.0Time difference: 1488132799926
RSSI:-48.0,Distance: 1.0Time difference: 1488132800646
RSSI:-48.0,Distance: 1.0Time difference: 1488132800864
RSSI:-50.0,Distance: 1.0Time difference: 1488132801069
RSSI:-50.0,Distance: 1.0Time difference: 1488132801069
RSSI:-49.0,Distance: 1.0Time difference: 1488132801496
RSSI:-48.0,Distance: 1.0Time difference: 1488132801706
