RSSI:-56,Distance: 1.0Time difference: 1488143543115
RSSI:-59,Distance: 1.0Time difference: 1488143543331
RSSI:-68,Distance: 1.0Time difference: 1488143543540
RSSI:-58,Distance: 1.0Time difference: 1488143543746
RSSI:-58,Distance: 1.0Time difference: 1488143543746
RSSI:-59,Distance: 1.0Time difference: 1488143544167
RSSI:-65,Distance: 1.0Time difference: 1488143544422
RSSI:-65,Distance: 1.0Time difference: 1488143544422
RSSI:-65,Distance: 1.0Time difference: 1488143544422
RSSI:-65,Distance: 1.0Time difference: 1488143544422
RSSI:-67,Distance: 1.0Time difference: 1488143545321
RSSI:-67,Distance: 1.0Time difference: 1488143545529
RSSI:-60,Distance: 1.0Time difference: 1488143545741
RSSI:-64,Distance: 1.0Time difference: 1488143545953
RSSI:-61,Distance: 1.0Time difference: 1488143546161
RSSI:-61,Distance: 1.0Time difference: 1488143546161
RSSI:-65,Distance: 1.0Time difference: 1488143546576
RSSI:-84,Distance: 1.0Time difference: 1488143546788
RSSI:-63,Distance: 1.0Time difference: 1488143546999
RSSI:-64,Distance: 1.0Time difference: 1488143547216
RSSI:-76,Distance: 1.0Time difference: 1488143547423
RSSI:-76,Distance: 1.0Time difference: 1488143547423
RSSI:-76,Distance: 1.0Time difference: 1488143547423
RSSI:-71,Distance: 1.0Time difference: 1488143548143
RSSI:-71,Distance: 1.0Time difference: 1488143548143
RSSI:-71,Distance: 1.0Time difference: 1488143548143
RSSI:-71,Distance: 1.0Time difference: 1488143548143
RSSI:-71,Distance: 1.0Time difference: 1488143548143
RSSI:-76,Distance: 1.0Time difference: 1488143549208
RSSI:-69,Distance: 1.0Time difference: 1488143549416
RSSI:-73,Distance: 1.0Time difference: 1488143549632
RSSI:-79,Distance: 1.0Time difference: 1488143549844
RSSI:-79,Distance: 1.0Time difference: 1488143549844
RSSI:-79,Distance: 1.0Time difference: 1488143549844
RSSI:-79,Distance: 1.0Time difference: 1488143549844
RSSI:-79,Distance: 1.0Time difference: 1488143549844
RSSI:-68,Distance: 1.0Time difference: 1488143550988
RSSI:-68,Distance: 1.0Time difference: 1488143550988
RSSI:-79,Distance: 1.0Time difference: 1488143551409
RSSI:-79,Distance: 1.0Time difference: 1488143551409
RSSI:-74,Distance: 1.0Time difference: 1488143551817
RSSI:-74,Distance: 1.0Time difference: 1488143552024
RSSI:-77,Distance: 1.0Time difference: 1488143552237
RSSI:-76,Distance: 1.0Time difference: 1488143552444
RSSI:-70,Distance: 1.0Time difference: 1488143552649
RSSI:-70,Distance: 1.0Time difference: 1488143552649
RSSI:-70,Distance: 1.0Time difference: 1488143553068
RSSI:-70,Distance: 1.0Time difference: 1488143553068
RSSI:-70,Distance: 1.0Time difference: 1488143553068
RSSI:-70,Distance: 1.0Time difference: 1488143553068
